13,-5,1
32,-5,0
9,-1,1
31,-1,1
11,-5,1
22,-3,1
24,-5,1
16,-1,1
2,-2,0
19,-1,0
33,-2,1
13,-2,1
26,-1,1
13,-1,0
16,-3,1
35,-2,0
41,-3,0
16,-2,1
0,0,0
31,-3,1
20,-4,0
20,-3,0
2,-1,0
26,-4,1
3,-5,0
23,0,1
1,0,0
10,-1,0
18,-2,0
0,-4,0
27,-5,1
18,0,0
15,0,0
24,-2,0
38,-3,1
30,-3,0
35,-5,0
34,-5,0
24,-4,0
17,-2,1
32,-2,1
36,-4,1
9,-2,0
3,-4,0
27,-3,0
4,-3,1
25,-1,0
5,-1,0
25,-5,0
11,-2,1
21,-3,0
11,0,1
17,0,0
4,-5,1
3,-2,0
17,-5,0
24,0,1
30,0,0
22,-5,1
37,-4,0
29,-5,1
28,0,1
26,-2,1
34,-2,0
36,-5,0
16,-5,1
23,-4,0
14,-4,0
3,0,1
31,-4,1
9,0,0
28,-5,1
13,-3,0
5,-2,0
12,-2,1
40,0,0
33,-4,0
1,-5,1
7,-3,0
15,-1,0
21,-1,0
39,-4,1
35,-4,0
40,-2,0
16,-4,1
17,-4,0
0,-3,0
33,-1,0
10,-2,0
14,-3,0
30,-2,0
26,-5,0
40,-4,0
25,-4,0
6,-1,1
3,-3,1
41,-2,0
14,-5,1
13,0,1
29,0,0
20,-2,0
15,-5,0
8,0,1
3,-1,0
11,-1,1
21,-5,1
19,-4,0
36,-1,1
34,-3,0
4,-4,1
6,-2,1
30,-5,0
11,-3,1
27,0,1
6,-5,1
36,-2,1
8,-2,1
42,-1,0
35,0,0
7,-4,0
28,-3,1
31,-5,1
12,0,1
1,-4,1
9,-4,1
22,-2,0
16,0,1
38,0,1
12,-5,1
10,0,0
1,-3,1
37,-5,1
18,-1,1
13,-4,0
12,-3,0
12,-1,0
29,-1,1
27,-2,0
6,-4,1
29,-2,0
31,0,1
18,-4,1
37,-3,0
32,0,1
21,0,1
23,-5,1
32,-4,0
35,-1,0
7,-5,1
39,-3,1
17,-1,0
15,-3,0
23,-1,0
5,-5,0
4,-2,1
23,-3,0
28,-1,0
18,-3,1
33,-5,0
6,-3,1
35,-3,0
29,-4,1
20,0,0
9,-3,1
41,-1,0
22,-4,0
15,-2,0
40,-1,0
38,-5,1
14,-1,0
33,-3,0
38,-2,0
36,0,0
37,0,1
19,-2,0
1,-1,1
26,-3,1
7,0,1
36,-3,1
25,0,0
41,0,0
12,-4,0
33,0,1
11,-4,1
18,-5,0
8,-4,0
39,-5,1
24,-1,1
2,0,1
5,-3,0
2,-4,0
24,-3,0
19,0,1
7,-1,0
30,-1,0
39,-1,1
20,-1,0
34,-4,0
20,-5,0
40,-3,0
23,-2,1
15,-4,0
14,-2,0
2,-5,0
19,-3,0
32,-1,0
8,-5,1
37,-1,0
10,-3,0
39,0,0
21,-2,0
26,0,0
39,-2,0
9,-5,0
38,-4,0
27,-4,0
17,-3,0
8,-3,0
7,-2,1
5,0,0
5,-4,0
28,-2,0
8,-1,0
6,0,1
10,-4,0
42,-2,0
19,-5,1
38,-1,0
25,-3,0
30,-4,0
37,-2,0
31,-2,1
10,-5,0
21,-4,1
1,-2,1
2,-3,1
32,-3,0
40,-5,0
22,0,1
34,0,1
22,-1,0
28,-4,0
14,0,1
29,-3,1
4,-1,1
27,-1,0
34,-1,0
25,-2,0
4,0,0
